exponent,n,h,alpha,error,connected
2,80000,0.039915,0.047797,0.098481,1
2,80000,0.039915,0.047797,0.135000,1
2,80000,0.039915,0.047797,0.099874,1
2,80000,0.039915,0.047797,0.127667,1
2,80000,0.039915,0.047797,0.127475,1
2,80000,0.039915,0.047797,0.126175,1
2,80000,0.039915,0.047797,0.114353,1
2,80000,0.039915,0.047797,0.113527,1
2,80000,0.039915,0.047797,0.156596,1
2,80000,0.039915,0.047797,0.130658,1
2,80000,0.039915,0.047797,0.086013,1
2,80000,0.039915,0.047797,0.157506,1
2,80000,0.039915,0.047797,0.132508,1
2,80000,0.039915,0.047797,0.119647,1
2,80000,0.039915,0.047797,0.115939,1
2,80000,0.039915,0.047797,0.121843,1
2,80000,0.039915,0.047797,0.152705,1
2,80000,0.039915,0.047797,0.152288,1
3,80000,0.046416,0.043089,0.083036,1
3,80000,0.046416,0.043089,0.109310,1
3,80000,0.046416,0.043089,0.093517,1
3,80000,0.046416,0.043089,0.136096,1
3,80000,0.046416,0.043089,0.091322,1
3,80000,0.046416,0.043089,0.098841,1
3,80000,0.046416,0.043089,0.094548,1
3,80000,0.046416,0.043089,0.120401,1
3,80000,0.046416,0.043089,0.097453,1
3,80000,0.046416,0.043089,0.122654,1
3,80000,0.046416,0.043089,0.118463,1
3,80000,0.046416,0.043089,0.101540,1
3,80000,0.046416,0.043089,0.136906,1
3,80000,0.046416,0.043089,0.107129,1
3,80000,0.046416,0.043089,0.081922,1
3,80000,0.046416,0.043089,0.106475,1
3,80000,0.046416,0.043089,0.139617,1
3,80000,0.046416,0.043089,0.103505,1
3,80000,0.046416,0.043089,0.104187,1
3,80000,0.046416,0.043089,0.189211,1
4,80000,0.059460,0.035355,0.056484,1
4,80000,0.059460,0.035355,0.090026,1
4,80000,0.059460,0.035355,0.070716,1
4,80000,0.059460,0.035355,0.071852,1
4,80000,0.059460,0.035355,0.089049,1
4,80000,0.059460,0.035355,0.121644,1
4,80000,0.059460,0.035355,0.069352,1
4,80000,0.059460,0.035355,0.088755,1
4,80000,0.059460,0.035355,0.079084,1
4,80000,0.059460,0.035355,0.092392,1
4,80000,0.059460,0.035355,0.078985,1
4,80000,0.059460,0.035355,0.083690,1
4,80000,0.059460,0.035355,0.072533,1
4,80000,0.059460,0.035355,0.107383,1
4,80000,0.059460,0.035355,0.078976,1
4,80000,0.059460,0.035355,0.055790,1
4,80000,0.059460,0.035355,0.076232,1
4,80000,0.059460,0.035355,0.076456,1
4,80000,0.059460,0.035355,0.055959,1
4,80000,0.059460,0.035355,0.083949,1
2,80000,0.039915,0.047797,0.116123,1
2,80000,0.039915,0.047797,0.155785,1
2,80000,0.039915,0.047797,0.121273,1
2,80000,0.039915,0.047797,0.155654,1
2,80000,0.039915,0.047797,0.118628,1
2,80000,0.039915,0.047797,0.128502,1
2,80000,0.039915,0.047797,0.143125,1
2,80000,0.039915,0.047797,0.104370,1
2,80000,0.039915,0.047797,0.123834,1
2,80000,0.039915,0.047797,0.163199,1
2,80000,0.039915,0.047797,0.128525,1
2,80000,0.039915,0.047797,0.135799,1
2,80000,0.039915,0.047797,0.148064,1
2,80000,0.039915,0.047797,0.133412,1
2,80000,0.039915,0.047797,0.151895,1
2,80000,0.039915,0.047797,0.116073,1
2,80000,0.039915,0.047797,0.121603,1
2,80000,0.039915,0.047797,0.123505,1
2,80000,0.039915,0.047797,0.107011,1
2,80000,0.039915,0.047797,0.137482,1
3,80000,0.046416,0.043089,0.081589,1
3,80000,0.046416,0.043089,0.122511,1
3,80000,0.046416,0.043089,0.108204,1
3,80000,0.046416,0.043089,0.140990,1
3,80000,0.046416,0.043089,0.126407,1
3,80000,0.046416,0.043089,0.106225,1
3,80000,0.046416,0.043089,0.114640,1
3,80000,0.046416,0.043089,0.129196,1
3,80000,0.046416,0.043089,0.099388,1
3,80000,0.046416,0.043089,0.101106,1
3,80000,0.046416,0.043089,0.127499,1
3,80000,0.046416,0.043089,0.132744,1
3,80000,0.046416,0.043089,0.089211,1
3,80000,0.046416,0.043089,0.100713,1
3,80000,0.046416,0.043089,0.099651,1
3,80000,0.046416,0.043089,0.116047,1
3,80000,0.046416,0.043089,0.094899,1
3,80000,0.046416,0.043089,0.111133,1
3,80000,0.046416,0.043089,0.100141,1
3,80000,0.046416,0.043089,0.124660,1
4,80000,0.059460,0.035355,0.072845,1
4,80000,0.059460,0.035355,0.092211,1
4,80000,0.059460,0.035355,0.078097,1
4,80000,0.059460,0.035355,0.099107,1
4,80000,0.059460,0.035355,0.091443,1
4,80000,0.059460,0.035355,0.082230,1
4,80000,0.059460,0.035355,0.090900,1
4,80000,0.059460,0.035355,0.079292,1
4,80000,0.059460,0.035355,0.078785,1
4,80000,0.059460,0.035355,0.065193,1
4,80000,0.059460,0.035355,0.084784,1
4,80000,0.059460,0.035355,0.064980,1
4,80000,0.059460,0.035355,0.076512,1
4,80000,0.059460,0.035355,0.074425,1
4,80000,0.059460,0.035355,0.067835,1
4,80000,0.059460,0.035355,0.068221,1
4,80000,0.059460,0.035355,0.087142,1
4,80000,0.059460,0.035355,0.109023,1
4,80000,0.059460,0.035355,0.072824,1
4,80000,0.059460,0.035355,0.065588,1
